trace,L_class_number,commutator_class_number,genus
18,1,1,1
66,2,1,1
110,4,2,1
146,3,1,1
254,12,2,1
258,8,3,1
322,14,3,2
366,4,2,1
402,5,3,1
510,18,4,1
578,24,4,1
702,20,4,2
750,12,6,1
786,7,5,1
834,16,2,2
1006,10,0,0
1026,24,9,1
1042,24,4,2
1134,6,4,1
1170,16,6,1
1262,20,2,1
1278,24,4,1
1298,23,7,1
1470,52,12,1
1518,16,8,1
1554,8,4,2
1602,50,11,1
1726,32,0,0
1794,24,4,2
1902,20,10,1
1938,22,10,1
1982,96,10,1
2046,28,4,1
2050,112,6,1
2158,40,8,1
2194,20,2,2
2238,32,4,2
2286,12,4,2
2302,112,10,1
2306,84,11,1
2322,16,10,1
2370,32,2,2
2414,42,8,1
2450,40,2,1
2558,60,0,0
2562,48,10,2
2626,120,6,1
2670,24,14,1
2706,13,11,1
2814,40,8,1
2882,80,2,2
3006,52,8,1
3054,24,12,1
3090,24,8,1
3138,84,18,1
3310,66,8,1
3330,96,16,1
3346,32,4,2
3438,28,12,2
3474,24,10,2
3566,34,2,1
3582,72,12,1
3602,60,12,1
3774,64,6,2
3822,24,12,1
3858,32,10,1
3906,32,6,2
4030,200,6,1
4098,80,26,1
4206,30,12,1
4242,32,12,2
4286,80,2,2
4350,72,12,1
4354,132,5,2
4462,60,4,1
4498,72,10,1
4542,120,28,1
4590,56,20,1
4606,126,8,1
4610,120,2,2
4626,34,20,1
4674,56,8,2
4718,40,0,0
4754,64,8,2
4862,176,12,1
4866,96,12,1
4930,192,10,2
4974,24,12,1
5010,44,16,1
5118,140,24,1
5186,198,19,1
5310,88,8,2
5358,24,10,2
5394,36,12,1
5442,64,6,2
5614,64,8,1
5634,72,8,2
5650,100,8,2
5742,40,18,1
5778,41,23,1
5870,102,12,1
5886,88,8,2
5906,60,4,1
6078,144,30,1
6126,42,12,1
6162,48,20,2
6210,192,30,1
6334,168,4,2
6402,140,33,1
6510,48,20,1
6546,40,14,1
6590,320,20,1
6654,60,16,1
6658,288,14,2
6766,60,10,1
6802,124,18,1
6846,64,10,2
6894,62,32,1
6910,320,12,1
6914,192,10,1
6930,48,22,1
6978,128,8,2
7022,96,10,1
7058,126,18,1
7166,240,16,1
7170,168,26,1
7234,224,4,1
7278,48,14,2
7314,36,16,2
7422,144,20,1
7490,192,4,2
7614,128,26,1
7662,36,16,1
7698,56,20,"[[(-10, 18, 34), (-10, 10, 50), (-6, 10, 62)], array([list([[7749, -520], [760, -51]])], dtype=object)]"
7746,132,42,1
7918,120,8,2
7938,96,16,2
7954,96,10,2
8046,42,16,1
8082,64,22,1
8174,60,4,2
8190,180,24,1
8210,128,8,1
8382,96,8,2
8430,84,34,1
8466,46,26,1
8514,96,12,2
8638,320,12,2
8706,96,12,1
8814,76,32,1
8850,56,24,2
8894,144,6,2
8958,200,24,2
8962,192,4,"[[(-6, 6, 78)], array([list([[9041, -480], [1488, -79]])], dtype=object)]"
9070,170,16,1
9106,100,8,1
9150,248,44,1
9198,62,20,1
9214,324,22,1
9218,384,36,1
9234,56,18,1
9282,224,34,2
9326,96,12,2
9362,80,6,2
9470,300,8,2
9474,120,10,"[[(-10, 26, 30)], array([list([[10737, 5168], [-2624, -1263]]),
       list([[10737, -5168], [2624, -1263]]),
       list([[12369, 5984], [-5984, -2895]])], dtype=object)]"
9538,160,2,2
9582,96,36,1
9618,64,24,1
9726,96,8,1
9794,360,10,"[[(-10, 14, 50)], array([list([[8137, 7392], [1824, 1657]]),
       list([[9913, -768], [1536, -119]])], dtype=object)]"
9918,160,16,"[[(6, 38, 74), (10, 22, 70)], array([list([[-9399, -592], [-8240, -519]])], dtype=object)]"
9966,48,24,1
10002,100,34,1
10050,208,24,2
10222,168,22,1
10242,224,30,1
10258,96,12,1
10350,64,20,1
10386,72,24,1
10478,160,16,2
10494,144,20,1
10514,108,8,2
10686,140,24,1
10734,52,24,1
10770,96,24,1
10818,208,56,1
10942,400,4,2
11010,264,24,2
11118,88,28,1
11154,64,22,"[[(-10, 10, 66)], array([list([[14477, 6968], [-6904, -3323]]),
       list([[14477, 6904], [-6968, -3323]])], dtype=object)]"
11198,420,12,2
11262,264,36,1
11266,280,12,1
11374,130,8,1
11410,216,30,1
11454,144,12,2
11502,120,52,1
11518,252,8,1
11522,200,4,2
11538,64,28,1
11586,160,12,2
11630,120,6,1
11666,81,19,1
11774,288,16,1
11778,144,16,1
11842,432,20,2
11886,50,12,2
11922,112,40,1
12030,288,50,1
12098,356,16,"[[(-22, 22, 22), (-10, 26, 38), (-10, 10, 70)], array([list([[12169, -720], [1200, -71]]),
       list([[11593, 11088], [528, 505]])], dtype=object)]"
12222,176,26,1
12270,108,32,2
12306,64,18,1
12354,240,36,1
12526,96,12,1
12546,252,61,1
12562,120,6,2
12654,80,32,1
12690,160,62,1
12782,120,18,1
12798,168,16,1
12818,240,14,1
12990,160,14,2
13038,84,28,1
13074,64,26,1
